"No.","Time","Source","Destination","Protocol","Length","Info"
"3548","20.184145","host","2.2.1","USB","27","URB_INTERRUPT in"
"3641","20.552093","2.2.1","host","USB","35","URB_INTERRUPT in"
"3642","20.552110","host","2.2.1","USB","27","URB_INTERRUPT in"
"3647","20.568094","2.2.1","host","USB","35","URB_INTERRUPT in"
"3648","20.568111","host","2.2.1","USB","27","URB_INTERRUPT in"
"3835","21.336155","2.2.1","host","USB","35","URB_INTERRUPT in"
"3836","21.336187","host","2.2.1","USB","27","URB_INTERRUPT in"
"3941","21.752164","2.2.1","host","USB","35","URB_INTERRUPT in"
"3942","21.752193","host","2.2.1","USB","27","URB_INTERRUPT in"
"3953","21.800167","2.2.1","host","USB","35","URB_INTERRUPT in"
"3954","21.800194","host","2.2.1","USB","27","URB_INTERRUPT in"
"4003","21.992162","2.2.1","host","USB","35","URB_INTERRUPT in"
"4004","21.992190","host","2.2.1","USB","27","URB_INTERRUPT in"
"4025","22.072159","2.2.1","host","USB","35","URB_INTERRUPT in"
"4026","22.072187","host","2.2.1","USB","27","URB_INTERRUPT in"
"4045","22.144163","2.2.1","host","USB","35","URB_INTERRUPT in"
"4046","22.144224","host","2.2.1","USB","27","URB_INTERRUPT in"
"4063","22.208134","2.2.1","host","USB","35","URB_INTERRUPT in"
"4064","22.208153","host","2.2.1","USB","27","URB_INTERRUPT in"
"4099","22.344121","2.2.1","host","USB","35","URB_INTERRUPT in"
"4100","22.344139","host","2.2.1","USB","27","URB_INTERRUPT in"
"4115","22.400125","2.2.1","host","USB","35","URB_INTERRUPT in"
"4116","22.400142","host","2.2.1","USB","27","URB_INTERRUPT in"
"4199","22.904156","2.2.1","host","USB","35","URB_INTERRUPT in"
"4200","22.904178","host","2.2.1","USB","27","URB_INTERRUPT in"
"4557","24.448155","2.2.1","host","USB","35","URB_INTERRUPT in"
"4558","24.448182","host","2.2.1","USB","27","URB_INTERRUPT in"
"4575","24.512161","2.2.1","host","USB","35","URB_INTERRUPT in"
"4576","24.512188","host","2.2.1","USB","27","URB_INTERRUPT in"
"4641","24.808162","2.2.1","host","USB","35","URB_INTERRUPT in"
"4642","24.808193","host","2.2.1","USB","27","URB_INTERRUPT in"
"4703","25.200181","2.2.1","host","USB","35","URB_INTERRUPT in"
"4704","25.200208","host","2.2.1","USB","27","URB_INTERRUPT in"
"4727","25.288163","2.2.1","host","USB","35","URB_INTERRUPT in"
"4728","25.288190","host","2.2.1","USB","27","URB_INTERRUPT in"
"4747","25.376013","2.2.1","host","USB","35","URB_INTERRUPT in"
"4748","25.376163","host","2.2.1","USB","27","URB_INTERRUPT in"
"4763","25.456091","2.2.1","host","USB","35","URB_INTERRUPT in"
"4764","25.456110","host","2.2.1","USB","27","URB_INTERRUPT in"
"4779","25.512103","2.2.1","host","USB","35","URB_INTERRUPT in"
